"Class","Order","Family","Species","Stock","Year of first stock assessment","Initial year","Region","Habitat","Mean ex vessel price per kg","Maximum landings","Fishbase length","FMP","FMP.name"
"Actinopterygii","Clupeiformes","Engraulidae","Anchoa mitchilli","USEC-NE ANCHOVY, BAY",,2013,"USEC-NE","pelagic",2.04,0.1,10,,
"Actinopterygii","Clupeiformes","Engraulidae","Engraulis mordax","USWC northern anchovy",1980,1960,"USWC-48","pelagic",0.74,158511,24.8,1,"Coastal Pelagic Species"
"Actinopterygii","Cypriniformes","Cyprinidae","Orthodon microlepidotus","USWC-48 SACRAMENTO BLACKFISH",,1973,"USWC-48","benthopelagic",0.84,137.4,55,,
"Actinopterygii","Cypriniformes","Cyprinidae","Pogonichthys macrolepidotus","USWC-48 SPLITTAIL",,1960,"USWC-48","benthopelagic",0.57,2.4,44,,
"Actinopterygii","Cyprinodontiformes","Fundulidae","Fundulus heteroclitus","USEC-NE MUMMICHOG",,1979,"USEC-NE","benthopelagic",33.09,2.1,15,,
"Actinopterygii","Elopiformes","Elopidae","Elops saurus","USEC-SE LADYFISH",,1960,"USEC-SE","reef",0.52,2721.5,100,,
"Actinopterygii","Elopiformes","Megalopidae","Megalops atlanticus","USEC-NE TARPON",,1960,"USEC-NE","reef",0.52,0.1,250,,
"Actinopterygii","Gadiformes","Gadidae","Gadus macrocephalus","BSAI Pacific cod",1987,1960,"USWC-AK","demersal",0.32,53463.254683984,119,1,"Groundfish of the Bering Sea and Aleutian Islands Management Area"
"Actinopterygii","Gadiformes","Gadidae","Gadus macrocephalus","GOA Pacific cod",1988,1960,"USWC-AK","demersal",0.32,32985.263451232,119,1,"Groundfish of the Gulf of Alaska"
"Actinopterygii","Gadiformes","Gadidae","Gadus macrocephalus","USWC-48 COD, PACIFIC",,1960,"USWC-48","demersal",0.35,15995.4,119,,
"Actinopterygii","Gadiformes","Gadidae","Gadus morhua","GeBank Atlantic cod",1977,1960,"USEC-NE","benthopelagic",0.27,3271,200,1,"Northeast Multispecies"
"Actinopterygii","Gadiformes","Gadidae","Gadus morhua","GoMaine Atlantic cod",1989,1960,"USEC-NE","benthopelagic",0.54,51321.4,200,1,"Northeast Multispecies"
"Actinopterygii","Gadiformes","Gadidae","Melanogrammus aeglefinus","GeBank haddock",1968,1960,"USEC-NE","demersal",0.18,70483.6,112,1,"Northeast Multispecies"
"Actinopterygii","Gadiformes","Gadidae","Melanogrammus aeglefinus","GoMaine haddock",1982,1960,"USEC-NE","demersal",0.47,4305.8,112,1,"Northeast Multispecies"
"Actinopterygii","Gadiformes","Gadidae","Microgadus proximus","USWC-48 TOMCOD, PACIFIC",,1960,"USWC-48","demersal",0.04,267.6,30.5,,
"Actinopterygii","Gadiformes","Gadidae","Microgadus proximus","USWC-AK TOMCOD, PACIFIC",,1979,"USWC-AK","demersal",0.35,0.2,30.5,,
"Actinopterygii","Gadiformes","Gadidae","Microgadus tomcod","USEC-NE TOMCOD, ATLANTIC",,1960,"USEC-NE","demersal",0.77,1.1,38.1,,
"Actinopterygii","Gadiformes","Gadidae","Pollachius virens","GeBank/GoMaine Atlantic pollock",1978,1960,"USEC-NE","demersal",0.15,17947.3,130,1,"Northeast Multispecies"
"Actinopterygii","Gadiformes","Gadidae","Theragra chalcogramma","AI walleye pollock",2003,1976,"USWC-AK","benthopelagic",0.17,2003.21002975,91,1,"Groundfish of the Bering Sea and Aleutian Islands Management Area"
"Actinopterygii","Gadiformes","Gadidae","Theragra chalcogramma","EBS walleye pollock",1987,1967,"USWC-AK","benthopelagic",0.16,238409.340877723,91,1,"Groundfish of the Bering Sea and Aleutian Islands Management Area"
"Actinopterygii","Gadiformes","Gadidae","Theragra chalcogramma","GOA walleye pollock",1990,1976,"USWC-AK","benthopelagic",0.18,91572.8328349168,91,1,"Groundfish of the Gulf of Alaska"
"Actinopterygii","Gadiformes","Gadidae","Theragra chalcogramma","USWC-48 POLLOCK, WALLEYE",,1965,"USWC-48","benthopelagic",0.2,3911.5,91,,
"Actinopterygii","Gadiformes","Lotidae","Brosme brosme","USEC-NE CUSK",,1960,"USEC-NE","demersal",0.51,2363,120,,
"Actinopterygii","Gadiformes","Lotidae","Brosme brosme","USEC-SE CUSK",,1990,"USEC-SE","demersal",2.25,2.7,120,,
"Actinopterygii","Gadiformes","Merlucciidae","Merluccius albidus","USEC-NE HAKE, OFFSHORE SILVER",,1991,"USEC-NE","bathy-",1.25,118.6,40.6,,
"Actinopterygii","Gadiformes","Merlucciidae","Merluccius bilinearis","nGeBank/GoMaine silver hake",1978,1960,"USEC-NE","demersal",0.06,23778.7666542859,76,1,"Northeast Multispecies"
"Actinopterygii","Gadiformes","Merlucciidae","Merluccius bilinearis","sGeBank/midAtl silver hake",1978,1960,"USEC-NE","demersal",0.09,36850.366682992,76,1,"Northeast Multispecies"
"Actinopterygii","Gadiformes","Merlucciidae","Merluccius productus","USWC/BC Pacific hake",1982,1960,"USWC-48","pelagic",0.04,13071.9,91,1,"Pacific Coast Groundfish"
"Actinopterygii","Gadiformes","Phycidae","Urophycis chuss","USEC-NE HAKE, RED",,1960,"USEC-NE","demersal",0.26,4746.1,66,,
"Actinopterygii","Gadiformes","Phycidae","Urophycis chuss","USEC-SE HAKE, RED",,1983,"USEC-SE","demersal",0.23,1.1,66,,
"Actinopterygii","Gadiformes","Phycidae","Urophycis floridana","USEC-NE HAKE, SOUTHERN",,2009,"USEC-NE","demersal",0.64,0.3,35,,
"Actinopterygii","Gadiformes","Phycidae","Urophycis tenuis","GeBank/GoMaine white hake",1995,1960,"USEC-NE","demersal",0.44,8443.7,133,1,"Northeast Multispecies"
"Actinopterygii","Gadiformes","Phycidae","Urophycis tenuis","USEC-SE HAKE, WHITE",,1985,"USEC-SE","demersal",0.74,3.3,133,,
"Actinopterygii","Lampriformes","Lampridae","Lampris guttatus","USEC-NE OPAH",,1992,"USEC-NE","bathy-",3.2,0.9,200,,
"Actinopterygii","Lampriformes","Lampridae","Lampris guttatus","USEC-SE OPAH",,1996,"USEC-SE","bathy-",2.9,1,200,,
"Actinopterygii","Lampriformes","Lampridae","Lampris guttatus","USWC-48 OPAH",,1980,"USWC-48","bathy-",1.91,0.3,200,,
"Actinopterygii","Lampriformes","Trachipteridae","Trachipterus arcticus","USEC-NE DEALFISH",,1994,"USEC-NE","bathy-",1.14,41.4,300,,
"Actinopterygii","Lophiiformes","Lophiidae","Lophius americanus","nGeBank/GoMaine monkfish",2002,1960,"USEC-NE","demersal",1.38,19093.8,120,1,"Monkfish"
"Actinopterygii","Lophiiformes","Lophiidae","Lophius americanus","sGeBank/midAtl monkfish",2002,1960,"USEC-NE","demersal",1.41,11515.9,120,1,"Monkfish"
"Actinopterygii","Lophiiformes","Lophiidae","Lophius gastrophysus","USEC-NE GOOSEFISH, BLACKFIN",,2004,"USEC-NE","bathy-",3.41,0.2,60,,
"Actinopterygii","Mugiliformes","Mugilidae","Mugil cephalus","East Florida striped mullet",2005,1960,"USEC-SE","benthopelagic",0.44,3214.1,100,0,
"Actinopterygii","Mugiliformes","Mugilidae","Mugil cephalus","USEC-NE MULLET, STRIPED (LIZA)",,1960,"USEC-NE","benthopelagic",0.29,90.7,100,,
"Actinopterygii","Mugiliformes","Mugilidae","Mugil cephalus","USEC-SE MULLET, STRIPED (LIZA)",,1960,"USEC-SE","benthopelagic",0.81,8473.7,100,,
"Actinopterygii","Mugiliformes","Mugilidae","Mugil cephalus","USWC-48 MULLET, STRIPED (LIZA)",,1960,"USWC-48","benthopelagic",0.32,108.6,100,,
"Actinopterygii","Mugiliformes","Mugilidae","Mugil cephalus","West Florida striped mullet",2005,1960,"USEC-SE","benthopelagic",0.44,15873.9,100,0,
"Actinopterygii","Mugiliformes","Mugilidae","Mugil curema","USEC-SE MULLET, WHITE",,1960,"USEC-SE","reef",0.39,2685.2,90,,
"Actinopterygii","Ophidiiformes","Ophidiidae","Brotula barbata","USEC-SE BROTULA, BEARDED",,1986,"USEC-SE","reef",1.7,36.9,94,,
"Actinopterygii","Ophidiiformes","Ophidiidae","Genypterus blacodes","USEC-SE AUSTRALIAN ROCKLING",,2007,"USEC-SE","bathy-",1.5,3.4,200,,
"Actinopterygii","Osmeriformes","Osmeridae","Allosmerus elongatus","USWC-48 SMELT, WHITEBAIT",,1960,"USWC-48","demersal",0.21,152.3,22.9,,
"Actinopterygii","Osmeriformes","Osmeridae","Mallotus villosus","USWC-AK CAPELIN",,1991,"USWC-AK","pelagic",1.1,18.1,20,,
"Actinopterygii","Osmeriformes","Osmeridae","Osmerus mordax","USEC-NE SMELT, RAINBOW",,1960,"USEC-NE","pelagic",0.72,162.8,35.6,,
"Actinopterygii","Osmeriformes","Osmeridae","Thaleichthys pacificus","USWC-48 SMELT, EULACHON",,1960,"USWC-48","pelagic",0.22,1771.7,34,,
"Actinopterygii","Osmeriformes","Osmeridae","Thaleichthys pacificus","USWC-AK SMELT, EULACHON",,1965,"USWC-AK","pelagic",0.58,156.1,34,,
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes americanus","USEC-NE LAUNCE, AMERICAN SAND",,1960,"USEC-NE","demersal",0.52,217.8,23.5,,
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes americanus","USWC-48 LAUNCE, AMERICAN SAND",,1973,"USWC-48","demersal",1.45,0.4,23.5,,
"Actinopterygii","Perciformes","Anarhichadidae","Anarhichas lupus","USNE Atlantic wolffish",2008,1960,"USEC-NE","demersal",0.4,1205,150,1,"Northeast Multispecies"
"Actinopterygii","Perciformes","Anarhichadidae","Anarrhichthys ocellatus","USWC-48 WOLF-EEL",,1976,"USWC-48","demersal",0.99,7.9,240,,
"Actinopterygii","Perciformes","Carangidae","Alectis ciliaris","USEC-SE POMPANO, AFRICAN",,1991,"USEC-SE","reef",3.79,6,150,,
"Actinopterygii","Perciformes","Carangidae","Caranx crysos","USEC-NE RUNNER, BLUE",,1997,"USEC-NE","reef",1.29,0.3,70,,
"Actinopterygii","Perciformes","Carangidae","Caranx crysos","USEC-SE RUNNER, BLUE",,1960,"USEC-SE","reef",0.38,1156.4,70,,
"Actinopterygii","Perciformes","Carangidae","Caranx hippos","USEC-NE JACK, CREVALLE",,1960,"USEC-NE","reef",1,7.2,124,,
"Actinopterygii","Perciformes","Carangidae","Caranx hippos","USEC-SE JACK, CREVALLE",,1960,"USEC-SE","reef",0.48,2052.1,124,,
"Actinopterygii","Perciformes","Carangidae","Caranx latus","USEC-SE JACK, HORSE-EYE",,1992,"USEC-SE","reef",1.11,1.9,101,,
"Actinopterygii","Perciformes","Carangidae","Caranx lugubris","USEC-SE JACK, BLACK",,1996,"USEC-SE","benthopelagic",1.41,0.6,100,,
"Actinopterygii","Perciformes","Carangidae","Caranx ruber","USEC-SE JACK, BAR",,1994,"USEC-SE","reef",1.98,41.8,59,,
"Actinopterygii","Perciformes","Carangidae","Elagatis bipinnulata","USEC-SE RUNNER, RAINBOW",,1996,"USEC-SE","reef",1.5,1.8,180,,
"Actinopterygii","Perciformes","Carangidae","Selar crumenophthalmus","USEC-SE SCAD, BIGEYE",,1991,"USEC-SE","reef",2.35,180.6,70,,
"Actinopterygii","Perciformes","Carangidae","Selene setapinnis","USEC-SE MOONFISH, ATLANTIC",,1960,"USEC-SE","benthopelagic",1.81,29.2,60,,
"Actinopterygii","Perciformes","Carangidae","Selene vomer","USEC-SE LOOKDOWN",,1993,"USEC-SE","demersal",1.78,18.9,48.3,,
"Actinopterygii","Perciformes","Carangidae","Seriola dumerili","GoMex greater amberjack",1995,1984,"USEC-SE","reef",1.84,784.9,190,1,"Reef Fish Resources of the Gulf of Mexico"
"Actinopterygii","Perciformes","Carangidae","Seriola dumerili","sAtl greater amberjack",1999,1987,"USEC-SE","reef",1.77,438,190,1,"Snapper-Grouper Fishery of the South Atlantic Region"
"Actinopterygii","Perciformes","Carangidae","Seriola lalandi","USWC-48 YELLOWTAIL JACK",,1960,"USWC-48","benthopelagic",0.37,4285.1,250,,
"Actinopterygii","Perciformes","Carangidae","Seriola rivoliana","USEC-SE JACK, ALMACO",,1991,"USEC-SE","reef",2.01,125.2,160,,
"Actinopterygii","Perciformes","Carangidae","Seriola zonata","USEC-SE RUDDERFISH, BANDED",,1991,"USEC-SE","benthopelagic",1.53,49.7,75,,
"Actinopterygii","Perciformes","Carangidae","Trachinotus carolinus","East Florida pompano",2002,1960,"USEC-SE","benthopelagic",3.83,266.3,64,0,
"Actinopterygii","Perciformes","Carangidae","Trachinotus carolinus","USEC-NE POMPANO, FLORIDA",,1960,"USEC-NE","benthopelagic",2.3,2,64,,
"Actinopterygii","Perciformes","Carangidae","Trachinotus carolinus","USEC-SE POMPANO, FLORIDA",,1960,"USEC-SE","benthopelagic",4.47,69.6,64,,
"Actinopterygii","Perciformes","Carangidae","Trachinotus carolinus","West Florida pompano",2002,1960,"USEC-SE","benthopelagic",3.52,546.4,64,0,
"Actinopterygii","Perciformes","Carangidae","Trachinotus falcatus","USEC-SE PERMIT",,1960,"USEC-SE","reef",1.36,97,122,,
"Actinopterygii","Perciformes","Carangidae","Trachurus lathami","USEC-NE SCAD, ROUGH",,1999,"USEC-NE","reef",0.66,0.7,40,,
"Actinopterygii","Perciformes","Carangidae","Trachurus symmetricus","USWC-48 JACK MACKEREL",,1960,"USWC-48","pelagic",0.09,66461.8,81,,
"Actinopterygii","Perciformes","Centrarchidae","Ambloplites rupestris","USEC-NE BASS, ROCK",,1960,"USEC-NE","demersal",0.4,11.3,43,,
"Actinopterygii","Perciformes","Centrolophidae","Hyperoglyphe bythites","USEC-SE BLACK DRIFTFISH",,1987,"USEC-SE","pelagic",2.95,14.1,60,,
"Actinopterygii","Perciformes","Centrolophidae","Hyperoglyphe perciformis","USEC-NE BARRELFISH",,2000,"USEC-NE","pelagic",2.79,0.2,91,,
"Actinopterygii","Perciformes","Centrolophidae","Hyperoglyphe perciformis","USEC-SE BARRELFISH",,1991,"USEC-SE","pelagic",4.19,15.3,91,,
"Actinopterygii","Perciformes","Coryphaenidae","Coryphaena hippurus","USEC-NE DOLPHINFISH",,1960,"USEC-NE","pelagic",3.93,96.3,210,,
"Actinopterygii","Perciformes","Coryphaenidae","Coryphaena hippurus","USEC-SE DOLPHINFISH",,1960,"USEC-SE","pelagic",2.99,1062.3,210,,
"Actinopterygii","Perciformes","Coryphaenidae","Coryphaena hippurus","USWC-48 DOLPHINFISH",,1972,"USWC-48","pelagic",1.96,43,210,,
"Actinopterygii","Perciformes","Gempylidae","Lepidocybium flavobrunneum","USEC-NE ESCOLAR",,1991,"USEC-NE","benthopelagic",3.1,4,200,,
"Actinopterygii","Perciformes","Gempylidae","Lepidocybium flavobrunneum","USEC-SE ESCOLAR",,1991,"USEC-SE","benthopelagic",2.04,101.3,200,,
"Actinopterygii","Perciformes","Gempylidae","Ruvettus pretiosus","USEC-SE OILFISH",,1989,"USEC-SE","benthopelagic",2.02,84.6,300,,
"Actinopterygii","Perciformes","Gobiidae","Gillichthys mirabilis","USWC-48 MUDSUCKER, LONGJAW",,1973,"USWC-48","demersal",3.38,5.5,21,,
"Actinopterygii","Perciformes","Haemulidae","Haemulon album","USEC-SE MARGATE",,1994,"USEC-SE","reef",1.5,23.6,79,,
"Actinopterygii","Perciformes","Haemulidae","Haemulon aurolineatum","USEC-SE GRUNT, TOMTATE",,2010,"USEC-SE","reef",0.79,0.2,25,,
"Actinopterygii","Perciformes","Haemulidae","Haemulon plumieri","sAtl white grunt",2000,1995,"USEC-SE","reef",1.62,5.3,53,1,"Snapper-Grouper Fishery of the South Atlantic Region"
"Actinopterygii","Perciformes","Haemulidae","Orthopristis chrysoptera","USEC-NE PIGFISH",,1960,"USEC-NE","demersal",0.19,15.4,46,,
"Actinopterygii","Perciformes","Haemulidae","Orthopristis chrysoptera","USEC-SE PIGFISH",,1960,"USEC-SE","demersal",0.4,187.4,46,,
"Actinopterygii","Perciformes","Kyphosidae","Girella nigricans","USWC-48 OPALEYE",,1960,"USWC-48","benthopelagic",0.49,10.7,66,,
"Actinopterygii","Perciformes","Kyphosidae","Medialuna californiensis","USWC-48 HALFMOON",,1960,"USWC-48","demersal",0.58,22.5,48,,
"Actinopterygii","Perciformes","Labridae","Lachnolaimus maximus","East Florida hogfish",2013,1960,"USEC-SE","reef",2.88,13.4,91,1,"Snapper-Grouper Fishery of the South Atlantic Region"
"Actinopterygii","Perciformes","Labridae","Lachnolaimus maximus","Northern sAtl hogfish",2013,1960,"USEC-SE","reef",4.65,19,91,1,"Snapper-Grouper Fishery of the South Atlantic Region"
"Actinopterygii","Perciformes","Labridae","Lachnolaimus maximus","West Florida hogfish",2013,1960,"USEC-SE","reef",3.13,53,91,1,"Reef Fish Resources of the Gulf of Mexico"
"Actinopterygii","Perciformes","Labridae","Semicossyphus pulcher","USWC California sheephead",2004,1960,"USWC-48","reef",5.3,143.1,91,0,
"Actinopterygii","Perciformes","Labridae","Tautoga onitis","USEC tautog",1996,1960,"USEC-NE","reef",0.78,524.8,91,0,
"Actinopterygii","Perciformes","Labridae","Tautogolabrus adspersus","USEC-NE CUNNER",,1960,"USEC-NE","reef",3.51,12.5,38,,
"Actinopterygii","Perciformes","Lobotidae","Lobotes surinamensis","USEC-SE TRIPLETAIL",,1960,"USEC-SE","benthopelagic",1.8,21.8,110,,
"Actinopterygii","Perciformes","Lutjanidae","Apsilus dentatus","USEC-SE SNAPPER, BLACK",,1985,"USEC-SE","reef",3.72,20.8,65,,
"Actinopterygii","Perciformes","Lutjanidae","Etelis oculatus","USEC-SE SNAPPER, QUEEN",,1986,"USEC-SE","bathy-",4.44,30.9,100,,
"Actinopterygii","Perciformes","Lutjanidae","Lutjanus analis","USSE mutton snapper",2008,1960,"USEC-SE","reef",2.72,251.4,94,1,"Snapper-Grouper Fishery of the South Atlantic Region / Reef Fish Resources of the Gulf of Mexico"
"Actinopterygii","Perciformes","Lutjanidae","Lutjanus apodus","USEC-SE SNAPPER, SCHOOLMASTER",,1997,"USEC-SE","reef",2.99,0.1,67.2,,
"Actinopterygii","Perciformes","Lutjanidae","Lutjanus buccanella","USEC-SE SNAPPER, BLACKFIN",,1984,"USEC-SE","reef",4.44,6.9,75,,
"Actinopterygii","Perciformes","Lutjanidae","Lutjanus campechanus","GoMex red snapper",1988,1960,"USEC-SE","reef",1.32,6072.3,100,1,"Reef Fish Resources of the Gulf of Mexico"
"Actinopterygii","Perciformes","Lutjanidae","Lutjanus campechanus","sAtl red snapper",1998,1960,"USEC-SE","reef",2.07,473,100,1,"Snapper-Grouper Fishery of the South Atlantic Region"
"Actinopterygii","Perciformes","Lutjanidae","Lutjanus cyanopterus","USEC-SE SNAPPER, CUBERA",,1982,"USEC-SE","reef",3.1,5.1,160,,
"Actinopterygii","Perciformes","Lutjanidae","Lutjanus griseus","USEC-SE SNAPPER, GRAY",,1960,"USEC-SE","reef",2.11,460.4,89,,
"Actinopterygii","Perciformes","Lutjanidae","Lutjanus jocu","USEC-NE SNAPPER, DOG",,1988,"USEC-NE","reef",2.72,0.1,128,,
"Actinopterygii","Perciformes","Lutjanidae","Lutjanus jocu","USEC-SE SNAPPER, DOG",,1991,"USEC-SE","reef",2.67,2,128,,
"Actinopterygii","Perciformes","Lutjanidae","Lutjanus mahogoni","USEC-SE SNAPPER, MAHOGANY",,1992,"USEC-SE","reef",3.52,0.5,48,,
"Actinopterygii","Perciformes","Lutjanidae","Lutjanus purpureus","USEC-SE SNAPPER CARIBBEAN RED",,2000,"USEC-SE","demersal",2.53,0.4,100,,
"Actinopterygii","Perciformes","Lutjanidae","Lutjanus synagris","USEC-SE SNAPPER, LANE",,1960,"USEC-SE","reef",2.62,69.2,60,,
"Actinopterygii","Perciformes","Lutjanidae","Lutjanus vivanus","USEC-SE SNAPPER, SILK",,1981,"USEC-SE","reef",4.69,147,83,,
"Actinopterygii","Perciformes","Lutjanidae","Ocyurus chrysurus","USSE yellowtail snapper",2003,1960,"USEC-SE","reef",2.96,1079,86.3,1,"Snapper-Grouper Fishery of the South Atlantic Region / Reef Fish Resources of the Gulf of Mexico"
"Actinopterygii","Perciformes","Lutjanidae","Pristipomoides aquilonaris","USEC-SE WENCHMAN",,1995,"USEC-SE","demersal",2.55,19.4,56,,
"Actinopterygii","Perciformes","Lutjanidae","Rhomboplites aurorubens","GoMex vermilion snapper",1998,1960,"USEC-SE","demersal",3.38,1199.6,60,1,"Reef Fish Resources of the Gulf of Mexico"
"Actinopterygii","Perciformes","Lutjanidae","Rhomboplites aurorubens","sAtl vermilion snapper",1998,1960,"USEC-SE","demersal",3.93,639.6,60,1,"Snapper-Grouper Fishery of the South Atlantic Region"
"Actinopterygii","Perciformes","Malacanthidae","Caulolatilus chrysops","USEC-SE TILEFISH, GOLDFACE",,1986,"USEC-SE","demersal",3.13,41,60,,
"Actinopterygii","Perciformes","Malacanthidae","Caulolatilus cyanops","USEC-SE TILEFISH, BLACKLINE",,1985,"USEC-SE","demersal",1.56,1.4,60,,
"Actinopterygii","Perciformes","Malacanthidae","Caulolatilus microps","sAtl blueline tilefish",2004,1985,"USEC-SE","demersal",2.05,117.3,90,1,"Snapper-Grouper Fishery of the South Atlantic Region"
"Actinopterygii","Perciformes","Malacanthidae","Caulolatilus microps","USEC-SE TILEFISH, BLUELINE",,1988,"USEC-SE","demersal",2.06,98.2,90,,
"Actinopterygii","Perciformes","Malacanthidae","Caulolatilus princeps","USWC-48 WHITEFISH, OCEAN",,1960,"USWC-48","reef",0.28,9.3,102,,
"Actinopterygii","Perciformes","Malacanthidae","Caulolatilus princeps","USWC-AK WHITEFISH, OCEAN",,1963,"USWC-AK","reef",0.59,43.3,102,,
"Actinopterygii","Perciformes","Malacanthidae","Lopholatilus chamaeleonticeps","GoMex golden tilefish",2011,1960,"USEC-SE","demersal",2.74,487.4,125,1,"Reef Fish Resources of the Gulf of Mexico"
"Actinopterygii","Perciformes","Malacanthidae","Lopholatilus chamaeleonticeps","sAtl golden tilefish",2004,1960,"USEC-SE","demersal",2.74,1682.7,125,1,"Snapper-Grouper Fishery of the South Atlantic Region"
"Actinopterygii","Perciformes","Malacanthidae","Lopholatilus chamaeleonticeps","USNE golden tilefish",1993,1960,"USEC-NE","demersal",1.53,3967.6,125,1,"Tilefish"
"Actinopterygii","Perciformes","Malacanthidae","Malacanthus plumieri","USEC-NE TILEFISH, SAND",,2005,"USEC-NE","reef",4.65,0.3,70,,
"Actinopterygii","Perciformes","Malacanthidae","Malacanthus plumieri","USEC-SE TILEFISH, SAND",,1992,"USEC-SE","reef",1.98,2.5,70,,
"Actinopterygii","Perciformes","Moronidae","Morone saxatilis","USEC striped bass",1997,1960,"USEC-NE","demersal",1,6686.3,200,0,
"Actinopterygii","Perciformes","Moronidae","Morone saxatilis","USWC-48 BASS, STRIPED",,1960,"USWC-48","demersal",0.3,31.2,200,,
"Actinopterygii","Perciformes","Polyprionidae","Polyprion americanus","sAtl wreckfish",2001,1988,"USEC-SE","demersal",2.94,1729.1,210,1,"Snapper-Grouper Fishery of the South Atlantic Region"
"Actinopterygii","Perciformes","Polyprionidae","Stereolepis gigas","USWC-48 SEA BASS, GIANT",,1960,"USWC-48","demersal",0.51,202.4,250,,
"Actinopterygii","Perciformes","Pomacentridae","Chromis punctipinnis","USWC-48 BLACKSMITH",,1973,"USWC-48","reef",0.12,16,25,,
"Actinopterygii","Perciformes","Pomatomidae","Pomatomus saltatrix","USEC bluefish",1994,1960,"USEC-NE","pelagic",0.37,7466.1,130,1,"Bluefish"
"Actinopterygii","Perciformes","Pomatomidae","Pomatomus saltatrix","USEC-SE BLUEFISH",,1960,"USEC-SE","pelagic",0.33,703.6,130,,
"Actinopterygii","Perciformes","Priacanthidae","Priacanthus arenatus","USEC-SE BIGEYE",,1994,"USEC-SE","reef",1.97,4.1,50,,
